age,exit,travel,dept,homeDist,edu,id,envrStf,gender,jobLvl,jobStf,marital,monthSal,pastComp,overtime,salInc,relStf,workYrs,wlBal,compYrs,lastPromYrs,currManYrs
41,Yes,Rarely,Sales,1,College,1,Medium,Female,2,Very High,Single,5993,8,Yes,11,Low,8,Bad,6,0,5
49,No,Frequently,Research & Development,8,Below College,2,High,Male,2,Medium,Married,5130,1,No,23,Very High,10,Better,10,1,7
37,Yes,Rarely,Research & Development,2,College,4,Very High,Male,1,High,Single,2090,6,Yes,15,Medium,7,Better,0,0,0
33,No,Frequently,Research & Development,3,Master,5,Very High,Female,1,High,Married,2909,1,Yes,11,High,8,Better,8,3,0
27,No,Rarely,Research & Development,2,Below College,7,Low,Male,1,Medium,Married,3468,9,No,12,Very High,6,Better,2,2,2
32,No,Frequently,Research & Development,2,College,8,Very High,Male,1,Very High,Single,3068,0,No,13,High,8,Good,7,3,6
59,No,Rarely,Research & Development,3,Bachelor,10,High,Female,1,Low,Married,2670,4,Yes,20,Low,12,Good,1,0,0
30,No,Rarely,Research & Development,24,Below College,11,Very High,Male,1,High,Divorced,2693,1,No,22,Medium,1,Better,1,0,0
38,No,Frequently,Research & Development,23,Bachelor,12,Very High,Male,3,High,Single,9526,0,No,21,Medium,10,Better,9,1,8
36,No,Rarely,Research & Development,27,Bachelor,13,High,Male,2,High,Married,5237,6,No,13,Medium,17,Good,7,7,7
35,No,Rarely,Research & Development,16,Bachelor,14,Low,Male,1,Medium,Married,2426,0,No,13,High,6,Better,5,0,3
29,No,Rarely,Research & Development,15,College,15,Very High,Female,2,High,Single,4193,0,Yes,12,Very High,10,Better,9,0,8
31,No,Rarely,Research & Development,26,Below College,16,Low,Male,1,High,Divorced,2911,1,No,17,Very High,5,Good,5,4,3
34,No,Rarely,Research & Development,19,College,18,Medium,Male,1,Very High,Divorced,2661,0,No,11,High,3,Better,2,1,2
28,Yes,Rarely,Research & Development,24,Bachelor,19,High,Male,1,High,Single,2028,5,Yes,14,Medium,6,Better,4,0,3
29,No,Rarely,Research & Development,21,Master,20,Medium,Female,3,Low,Divorced,9980,1,No,11,High,10,Better,10,8,8
32,No,Rarely,Research & Development,5,College,21,Low,Male,1,Medium,Divorced,3298,0,Yes,12,Very High,7,Good,6,0,5
22,No,None,Research & Development,16,College,22,Very High,Male,1,Very High,Divorced,2935,1,Yes,13,Medium,1,Good,1,0,0
53,No,Rarely,Sales,2,Master,23,Low,Female,4,Very High,Married,15427,2,No,16,High,31,Better,25,3,7
38,No,Rarely,Research & Development,2,Bachelor,24,Very High,Male,1,Very High,Single,3944,5,Yes,11,High,6,Better,3,1,2
24,No,None,Research & Development,11,College,26,Low,Female,2,High,Divorced,4011,0,No,18,Very High,5,Good,4,1,3
36,Yes,Rarely,Sales,9,Master,27,High,Male,1,Low,Single,3407,7,No,23,Medium,10,Better,5,0,3
34,No,Rarely,Research & Development,7,Master,28,Low,Female,3,Medium,Single,11994,0,No,11,High,13,Better,12,2,11
21,No,Rarely,Research & Development,15,College,30,High,Male,1,Very High,Single,1232,1,No,14,Very High,0,Better,0,0,0
34,Yes,Rarely,Research & Development,6,Below College,31,Medium,Male,1,Low,Single,2960,2,No,11,High,8,Better,4,1,3
53,No,Rarely,Research & Development,5,Bachelor,32,High,Female,5,High,Divorced,19094,4,No,11,Very High,26,Good,14,4,8
32,Yes,Frequently,Research & Development,16,Below College,33,Medium,Female,1,Low,Single,3919,1,Yes,22,Medium,10,Better,10,6,7
42,No,Rarely,Sales,8,Master,35,High,Male,2,Medium,Married,6825,0,No,11,Very High,10,Better,9,4,2
